7.8  7.5  7    7    8    2    7    4    13   6    7.00
96   100  20   10   44   102  113  90   88   108  95.0
45.5 50   43.8 51   44   43   58   70   55   46   42.0
29.5 30   20   29   28.5 40   25   24   27   27.5 30.0
10   9    10.5 10   30   7    9    9.5  7    8    7.50
3    3.2  3    2.8  2.9  7    3    3.2  1    1.5  3.50
1.8  1    2    2.1  1.9  2    10   1.7  1.5  2    1.40
8.3  20   10   9    10.2 7.9  8.2  8    9    8.1  9.20  
3.0  2.8  2.9  3    7    2.7  2.6  3    3.1  3.3  3.80
1.2  1.2  1.1  1    1.2  1.3  4    1.1  1    1.3  1.40  
